User ID,Quiz Result ID,Taken On,Score,Question 1 Body,Question 1 Answer,Question 1 Correct
770,16348,2021-03-31 19:35:35 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
771,16496,2021-04-02 19:14:59 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
772,16689,2021-04-09 16:52:20 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
773,16735,2021-04-10 00:43:09 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
776,16982,2021-04-16 21:12:41 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
784,17154,2021-04-26 23:30:12 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
779,17176,2021-04-27 01:46:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
784,17201,2021-04-27 16:54:36 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
780,17223,2021-04-28 18:25:55 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
787,17247,2021-04-28 20:44:37 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
787,17249,2021-04-28 20:44:52 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
787,17251,2021-04-28 20:45:05 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
790,17271,2021-04-28 21:30:14 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
786,17293,2021-04-29 19:22:56 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
789,17335,2021-04-30 19:29:54 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
781,17357,2021-05-01 19:31:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
783,17379,2021-05-02 21:29:59 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
793,17401,2021-05-05 18:35:19 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
800,17423,2021-05-06 00:38:33 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
795,17445,2021-05-06 17:29:44 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
799,17466,2021-05-07 22:53:09 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
802,17489,2021-05-09 15:20:24 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
803,17513,2021-05-10 16:23:37 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
804,17537,2021-05-11 01:26:40 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
796,17561,2021-05-11 21:27:56 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
807,17591,2021-05-13 19:30:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
808,17615,2021-05-14 16:12:06 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
809,17637,2021-05-14 22:55:56 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
811,17659,2021-05-17 16:40:23 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
794,17681,2021-05-20 23:22:30 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
797,17703,2021-05-21 16:24:42 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
816,17725,2021-05-21 21:11:03 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
810,17747,2021-05-22 17:57:02 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
812,17769,2021-05-24 20:25:51 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
817,17791,2021-05-26 15:24:53 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
814,17813,2021-05-27 16:36:15 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
820,17887,2021-05-28 23:52:27 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
821,17909,2021-05-29 16:34:16 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
822,17931,2021-06-03 17:54:04 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
823,17953,2021-06-05 01:29:05 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
825,17975,2021-06-05 22:25:16 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
826,17997,2021-06-07 16:24:23 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
828,18022,2021-06-15 15:26:13 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
813,18045,2021-06-15 18:23:30 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
829,18066,2021-06-15 19:26:18 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
830,18088,2021-06-21 19:22:44 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
808,18110,2021-07-01 15:21:32 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
832,18132,2021-07-01 18:25:06 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
834,18158,2021-07-17 00:28:36 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
833,18180,2021-07-19 19:55:06 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
837,18205,2021-09-14 22:07:59 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
838,18231,2021-09-15 20:30:41 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
839,18261,2021-10-07 17:34:29 UTC,0.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,No,no
852,18283,2021-10-15 01:41:39 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
853,18308,2021-10-15 17:47:07 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
853,18314,2021-10-15 17:47:41 UTC,1.0,Does the Ben Franklin Radar system's schematic contain the component on the screen?,Yes,yes
